,relevant_features,irrelevant_features,mean_var,mean_directions_kept
0,1,9,0.0864428390828566,10.0
0,1,11,0.07670530198789663,12.0
0,1,15,0.059238091252488016,16.0
0,2,18,0.04688828544649139,20.0
0,2,24,0.03624161751633653,26.0
0,3,30,0.029187162077232025,33.0
0,4,38,0.023032312391419212,42.0
0,5,49,0.01809254566556874,54.0
0,6,63,0.01412717465385949,69.0
0,8,80,0.01124791637034763,88.0
0,11,101,0.00889019510185414,112.0
0,14,129,0.006980910252861968,143.0
0,18,165,0.005428711569424821,183.0
0,23,210,0.0042792826483482906,233.0
0,29,268,0.003355629256194614,297.0
0,37,342,0.0026315569978302253,379.0
0,48,435,0.0024948276279999912,400.0
0,61,554,0.002491619669342885,400.0
0,78,706,0.0024943208253830652,400.0
0,100,900,0.0024958354543736087,400.0
