,relevant_features,irrelevant_features,mean_var,mean_directions_kept
0,2,8,0.08821234530643199,10.0
0,2,10,0.07673290613682461,12.0
0,3,13,0.05940230965825963,16.0
0,4,16,0.047444881467299097,20.0
0,5,21,0.03710151111098767,26.0
0,6,27,0.02946131801806146,33.0
0,8,34,0.023305721333407706,42.0
0,10,44,0.018221628200933263,54.0
0,13,56,0.014178086406891499,69.0
0,17,71,0.011198226967973672,88.0
0,22,90,0.008827001202011336,112.0
0,28,115,0.006955561630689855,143.0
0,36,147,0.005405199290658948,183.0
0,46,187,0.0042781764135046045,233.0
0,59,238,0.0033556509834197505,297.0
0,75,304,0.002631537494656376,379.0
0,96,387,0.002492808905446815,400.0
0,123,492,0.0024942366885737687,400.0
0,156,628,0.002495421049219756,400.0
0,200,800,0.002492084751434161,400.0
